second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
58	42622096.00	25391916.00	179411.00	16948900.00	0.00	101866.00	42315160.00	16949140.00	0.00	16936268.00	8421053.00	0.00	123.00	0.00	32665248.00	13468095.00	0.00	13467957.00	5729076.00	123.00	0.00	0.00	9641332.00	3481044.00	0.00	3468311.00	2691977.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22280.00	25391912.00	
59	42828232.00	25576978.00	174889.00	16978244.00	0.00	98126.00	42527028.00	16977236.00	0.00	16964896.00	8575909.00	0.00	114.00	0.00	32884884.00	13538127.00	0.00	13538374.00	5808268.00	114.00	0.00	0.00	9633274.00	3439110.00	0.00	3426523.00	2767641.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21936.00	25576980.00	
60	42717784.00	25511720.00	157509.00	16960588.00	0.00	87966.00	42454584.00	16960744.00	0.00	16951120.00	8533599.00	0.00	101.00	0.00	32828196.00	13522767.00	0.00	13522551.00	5782778.00	101.00	0.00	0.00	9617365.00	3437976.00	0.00	3428568.00	2750821.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17722.00	25511716.00	
61	42959512.00	25698488.00	157543.00	17016336.00	0.00	87150.00	42697144.00	17016554.00	0.00	17006904.00	8664512.00	0.00	86.00	0.00	33060032.00	13606717.00	0.00	13606696.00	5846534.00	86.00	0.00	0.00	9628025.00	3409839.00	0.00	3400208.00	2817978.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17974.00	25698494.00	
62	42979164.00	25772756.00	143960.00	16984472.00	0.00	77982.00	42744812.00	16984392.00	0.00	16976420.00	8773023.00	0.00	94.00	0.00	33133584.00	13617053.00	0.00	13617021.00	5899418.00	94.00	0.00	0.00	9600342.00	3367337.00	0.00	3359400.00	2873605.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15214.00	25772756.00	
63	43001848.00	25870284.00	130029.00	16932320.00	0.00	69216.00	42794024.00	16933050.00	0.00	16926588.00	8925480.00	0.00	89.00	0.00	33239486.00	13636806.00	0.00	13636510.00	5966080.00	89.00	0.00	0.00	9545722.00	3296243.00	0.00	3290079.00	2959400.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12920.00	25870282.00	
64	43169896.00	25953476.00	134958.00	17009572.00	0.00	71884.00	42949872.00	17008968.00	0.00	17002044.00	8929788.00	0.00	122.00	0.00	33352812.00	13683857.00	0.00	13684029.00	5984803.00	122.00	0.00	0.00	9588112.00	3325111.00	0.00	3318016.00	2944985.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13793.00	25953482.00	
65	43053900.00	25882224.00	123507.00	16982764.00	0.00	65411.00	42855736.00	16982744.00	0.00	16976520.00	8887281.00	0.00	122.00	0.00	33271448.00	13657812.00	0.00	13657772.00	5955738.00	122.00	0.00	0.00	9575222.00	3324932.00	0.00	3318747.00	2931543.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12152.00	25882224.00	
66	43204712.00	26001320.00	125649.00	17011216.00	0.00	66530.00	43004844.00	17011940.00	0.00	17005512.00	8978170.00	0.00	121.00	0.00	33418864.00	13712747.00	0.00	13712539.00	5993455.00	121.00	0.00	0.00	9576879.00	3299193.00	0.00	3292971.00	2984715.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12368.00	26001316.00	
67	43197984.00	26055660.00	115725.00	16965996.00	0.00	60602.00	43013932.00	16965084.00	0.00	16959756.00	9078167.00	0.00	116.00	0.00	33457814.00	13708809.00	0.00	13708812.00	6040076.00	116.00	0.00	0.00	9545311.00	3256276.00	0.00	3250944.00	3038091.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10965.00	26055672.00	
68	43139880.00	26008292.00	117180.00	16954146.00	0.00	60263.00	42957752.00	16955054.00	0.00	16949780.00	9043755.00	0.00	112.00	0.00	33431932.00	13711781.00	0.00	13711619.00	6008426.00	112.00	0.00	0.00	9516764.00	3243273.00	0.00	3238161.00	3035330.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10934.00	26008296.00	
