hit_rate_ini:	0.0474645	miss_ratio_ini:	1
24933	4294967295	0.37253	0.891113	0.518219
11253	4294967295	0.37253	0.891113	0.517172
3790	4294967295	0.37253	0.891113	0.516129
3064	4294967295	0.37253	0.891113	0.515091
8409	4294967295	0.37253	0.891113	0.514056
6349	4294967295	0.37253	0.891113	0.513026
7390	4294967295	0.37253	0.891113	0.512
81519	4294967295	0.37253	0.891113	0.510978
9693	4294967295	0.37253	0.891113	0.50996
11866	4294967295	0.37253	0.891113	0.508946
6023	4294967295	0.37253	0.891113	0.507937
17223	4294967295	0.37253	0.891113	0.506931
5346	4294967295	0.37253	0.891113	0.505929
635326	4294967295	0.37253	0.891113	0.504931
14727	4294967295	0.37253	0.891113	0.503937
12776	4294967295	0.37253	0.891113	0.502947
67982	4294967295	0.37253	0.891113	0.501961
6905	4294967295	0.37253	0.891113	0.500978
531512	4294967295	0.37253	0.891113	0.5
7479	4294967295	0.37253	0.891113	0.499025
554686	4294967295	0.37253	0.891113	0.498054
10858	4294967295	0.37253	0.891113	0.497087
25966	4294967295	0.37253	0.891113	0.496124
78131	4294967295	0.37253	0.891113	0.495164
8443	4294967295	0.37253	0.891113	0.494208
24669	4294967295	0.37253	0.891113	0.493256
12702	4294967295	0.37253	0.891113	0.492308
6024	4294967295	0.37253	0.891113	0.491363
15403	4294967295	0.37253	0.891113	0.490421
13356	4294967295	0.37253	0.891113	0.489484
6223	4294967295	0.37253	0.891113	0.48855
16681	4294967295	0.37253	0.891113	0.487619
16051	4294967295	0.37253	0.891113	0.486692
6233	4294967295	0.37253	0.891113	0.485769
9169	4294967295	0.37253	0.891113	0.484848
6801	4294967295	0.37253	0.891113	0.483932
13393	4294967295	0.37253	0.891113	0.483019
6813	4294967295	0.37253	0.891113	0.482109
17916	4294967295	0.37253	0.891113	0.481203
3550	4294967295	0.37253	0.891113	0.4803
34273	4294967295	0.37253	0.891113	0.479401
12360	4294967295	0.37253	0.891113	0.478505
17070	4294967295	0.37253	0.891113	0.477612
16641	4294967295	0.37253	0.891113	0.476723
90813	3727	0.372512	0.891113	0.477695
14293	2698	0.372491	0.891113	0.478664
5806	3547	0.372483	0.891113	0.47963
13317	2412	0.37246	0.891113	0.480591
4696	3885	0.372457	0.891113	0.48155
21212	3684	0.372441	0.891113	0.482505
87087	2877	0.372417	0.891113	0.483456
107463	3653	0.372399	0.891113	0.484404
5725	3260	0.372389	0.891113	0.485348
16563	2176	0.372362	0.891113	0.486289
10531	3202	0.372346	0.891113	0.487226
31791	4186	0.372332	0.891113	0.48816
20411	3917	0.372317	0.891113	0.489091
18365	3556	0.372301	0.891113	0.490018
70708	4504	0.372287	0.891113	0.490942
19793	2938	0.372266	0.891113	0.491863
93165	3616	0.372248	0.891113	0.49278
8957	2521	0.372228	0.891113	0.493694
11921	4655	0.372218	0.891113	0.494604
18214	3213	0.3722	0.891113	0.495512
9767	3198	0.372186	0.891113	0.496416
69923	2805	0.372162	0.891113	0.497317
11057	2661	0.372142	0.891113	0.498214
18962	4278	0.372129	0.891113	0.499109
14193	3314	0.372113	0.891113	0.5
15981	2939	0.372093	0.891113	0.500888
11881	2831	0.372075	0.891113	0.501773
81312	3807	0.372057	0.891113	0.502655
41804	2872	0.372034	0.891113	0.503534
10329	3048	0.372018	0.891113	0.504409
14676	3454	0.372002	0.891113	0.505282
72789	3367	0.371982	0.891113	0.506151
102158	3242	0.371961	0.891113	0.507018
537790	5363	0.371948	0.891113	0.507881
67240	4020	0.371932	0.891113	0.508741
96560	3472	0.371912	0.891113	0.509599
10009	2757	0.371894	0.891113	0.510453
36296	3645	0.371877	0.891113	0.511304
14832	4084	0.371864	0.891113	0.512153
