hit_rate_ini:	0.244347	miss_ratio_ini:	0.171082
15089	66511	0.601327	0.152283	1
13517	576762	0.601332	0.152222	1
11327	586825	0.601338	0.152161	1
6875	223334	0.601348	0.1521	1
13839	833418	0.601353	0.152039	1
14503	20474	0.601355	0.151978	1
15270	75381	0.601358	0.151917	1
11668	20260	0.601361	0.151855	1
15522	20806	0.601362	0.151794	1
14064	114748	0.601367	0.151733	1
11187	627111	0.601373	0.151672	1
10794	11391	0.601373	0.151672	1
11016	116417	0.601379	0.151611	1
17202	11806	0.601377	0.151672	1
11069	73577	0.601383	0.151611	1
14969	600635	0.601387	0.15155	1
19289	528567	0.601391	0.15155	1
18232	73196	0.601394	0.15155	1
9972	26223	0.601398	0.151489	1
12297	21618	0.601401	0.151428	1
13328	95113	0.601405	0.151367	1
8744	13541	0.601408	0.151367	1
21836	90977	0.601411	0.151367	1
10053	20811	0.601414	0.151306	1
9324	311073	0.601422	0.151245	1
12468	34677	0.601425	0.151184	1
15747	5994	0.601418	0.151184	1
12220	44328	0.601422	0.151123	1
9487	13140	0.601424	0.151123	1
15542	546637	0.601429	0.151062	1
14290	17339	0.60143	0.151001	1
17881	10626	0.601427	0.151062	1
12633	51062	0.601431	0.151001	1
14122	13486	0.601431	0.151001	1
12391	9157	0.601429	0.151001	1
19756	70029	0.601431	0.151001	1
10702	73026	0.601437	0.15094	1
12603	7947	0.601434	0.15094	1
14426	10607	0.601432	0.15094	1
13460	66631	0.601436	0.150879	1
26395	23182	0.601436	0.150879	1
19548	4294967295	0.601436	0.150879	0.998549
13543	94651	0.60144	0.150818	0.998551
10479	12553	0.601442	0.150818	0.998553
7903	5932	0.601439	0.150818	0.998555
11339	284106	0.601445	0.150757	0.998557
11401	22035	0.601448	0.150696	0.998559
17329	112615	0.601451	0.150696	0.998561
8451	17744	0.601455	0.150635	0.998563
14405	9727	0.601453	0.150635	0.998565
12022	5809	0.601447	0.150635	0.998567
9029	65669	0.601454	0.150574	0.998569
8373	71158	0.601461	0.150513	0.998571
7303	9780	0.601464	0.150513	0.998573
18124	16608	0.601463	0.150513	0.998575
19142	14783	0.601462	0.150574	0.998578
9112	73945	0.601469	0.150513	0.99858
16662	17719	0.601469	0.150513	0.998582
9050	9754	0.60147	0.150513	0.998584
12995	20306	0.601472	0.150452	0.998586
13422	23537	0.601474	0.150391	0.998588
10449	41685	0.601479	0.15033	0.99859
10832	12763	0.60148	0.15033	0.998592
12157	8956	0.601478	0.15033	0.998594
23788	13582	0.601476	0.150391	0.998596
11572	21473	0.601479	0.15033	0.998597
26602	21895	0.601478	0.15033	0.998599
10519	118238	0.601484	0.150269	0.998601
27446	17160	0.601483	0.150269	0.998603
25008	12400	0.60148	0.15033	0.998605
14058	82241	0.601484	0.150269	0.998607
18079	16479	0.601484	0.150269	0.998609
19680	14942	0.601482	0.15033	0.998611
13254	9949	0.601481	0.15033	0.998613
12565	12501	0.601481	0.15033	0.998615
9033	8758	0.60148	0.15033	0.998617
15832	34245	0.601483	0.150269	0.998619
22335	26820	0.601483	0.150269	0.998621
10141	14023	0.601485	0.150269	0.998623
71508	49582	0.601485	0.150269	0.998624
39609	270751	0.601486	0.150269	0.998626
17644	78466	0.601489	0.150269	0.998628
24933	24146	0.601489	0.150269	0.99863
25346	35026	0.60149	0.150269	0.998632
13493	8612	0.601487	0.150269	0.998634
19182	16888	0.601487	0.150269	0.998636
32493	1217	0.601432	0.15033	0.998638
10733	10994	0.601432	0.15033	0.998639
10117	2330	0.601409	0.15033	0.998641
30322	4377	0.601395	0.150391	0.998643
11029	8230	0.601393	0.150391	0.998645
8696	9742	0.601394	0.150391	0.998647
20794	9923	0.60139	0.150452	0.998649
29541	4527	0.601377	0.150513	0.99865
26097	6494	0.601369	0.150574	0.998652
14196	3923	0.601356	0.150574	0.998654
16358	8826	0.601352	0.150574	0.998656
11107	5745	0.601346	0.150574	0.998658
17241	5286	0.601337	0.150635	0.99866
14879	24853	0.601339	0.150574	0.998661
16783	4381	0.601327	0.150635	0.998663
21754	19876	0.601327	0.150635	0.998665
24415	5371	0.601316	0.150696	0.998667
71954	9357	0.60131	0.150757	0.998668
27251	67734	0.601311	0.150757	0.99867
14215	19881	0.601313	0.150696	0.998672
14275	15862	0.601313	0.150696	0.998674
31718	9284	0.601308	0.150757	0.998675
646758	14084	0.601303	0.150818	0.998677
24470	11594	0.6013	0.150879	0.998679
10772	6875	0.601296	0.150879	0.998681
18876	6875	0.601289	0.15094	0.998682
24443	6875	0.601282	0.151001	0.998684
34353	6875	0.601274	0.151062	0.998686
29147	6875	0.601266	0.151123	0.998688
67551	6875	0.601257	0.151184	0.998689
14076	6875	0.601251	0.151184	0.998691
15788	6875	0.601246	0.151184	0.998693
18075	6875	0.601239	0.151245	0.998695
