hit_rate_ini:	0.0278729	miss_ratio_ini:	1
4118	34574	0.374006	0.961426	1
3247	54387	0.374027	0.961365	1
3165	37833	0.374047	0.961304	1
3695	44000	0.374065	0.961243	1
2843	33158	0.374087	0.961182	1
1695	36933	0.374126	0.961121	1
2860	37704	0.374149	0.96106	1
3159	38103	0.374169	0.960999	1
2643	41886	0.374194	0.960938	1
3965	556092	0.374212	0.960876	1
3069	35500	0.374233	0.960815	1
4275	35910	0.374247	0.960754	1
1999	38683	0.374281	0.960693	1
3104	34072	0.374301	0.960632	1
4051	36383	0.374317	0.960571	1
3705	38467	0.374334	0.96051	1
3853	47206	0.374351	0.960449	1
4287	34458	0.374365	0.960388	1
3617	37534	0.374382	0.960327	1
4048	41381	0.374398	0.960266	1
3089	35002	0.374419	0.960205	1
3375	38501	0.374438	0.960144	1
4114	36823	0.374453	0.960083	1
3882	53631	0.37447	0.960022	1
3650	35668	0.374487	0.959961	1
4540	38885	0.374501	0.9599	1
4296	44436	0.374516	0.959839	1
3837	36497	0.374532	0.959778	1
4330	37727	0.374547	0.959717	1
3557	40737	0.374565	0.959656	1
4047	40614	0.37458	0.959595	1
3651	36889	0.374598	0.959534	1
4221	37942	0.374612	0.959473	1
3782	36808	0.374629	0.959412	1
4322	44843	0.374644	0.959351	1
5528	59448	0.374655	0.95929	1
5022	43317	0.374668	0.959229	1
3136	38181	0.374688	0.959167	1
4091	39469	0.374704	0.959106	1
7244	48940	0.374712	0.959045	1
3486	42523	0.374731	0.958984	1
5818	52925	0.374741	0.958923	1
4492	40613	0.374755	0.958862	1
4819	86641	0.374769	0.958801	1
3315	37334	0.374789	0.95874	1
4037	618164	0.374806	0.958679	1
5312	52449	0.374818	0.958618	1
4325	64425	0.374833	0.958557	1
4448	52013	0.374848	0.958496	1
3365	43054	0.374867	0.958435	1
4166	50770	0.374882	0.958374	1
6694	42793	0.374891	0.958313	1
5253	41764	0.374903	0.958252	1
3885	321562	0.374921	0.958191	1
3814	39729	0.374938	0.95813	1
8138	51770	0.374945	0.958069	1
4498	48716	0.374959	0.958008	1
6749	55117	0.374968	0.957947	1
5766	52230	0.374979	0.957886	1
4038	43516	0.374995	0.957825	1
13997	41064	0.374998	0.957764	1
5944	49300	0.375009	0.957703	1
5700	40084	0.375019	0.957642	1
4836	37864	0.375032	0.957581	1
3986	45326	0.375048	0.95752	1
5956	327684	0.37506	0.957458	1
5550	44017	0.375071	0.957397	1
4198	60687	0.375087	0.957336	1
7625	58353	0.375095	0.957275	1
5691	58353	0.375106	0.957214	1
4831	58353	0.375119	0.957153	1
8719	58353	0.375126	0.957092	1
5594	58353	0.375138	0.957031	1
5111	58353	0.37515	0.95697	1
5850	58353	0.375161	0.956909	1
5320	58353	0.375173	0.956848	1
4411	50372	0.375188	0.956787	1
8340	862830	0.375196	0.956726	1
6185	36068	0.375206	0.956665	1
6141	43733	0.375216	0.956604	1
5214	33513	0.375227	0.956543	1
6489	34107	0.375236	0.956482	1
7174	34982	0.375244	0.956421	1
4348	33956	0.375258	0.95636	1
3433	34340	0.375276	0.956299	1
7477	33999	0.375284	0.956238	1
7836	44368	0.375291	0.956177	1
5819	45675	0.375302	0.956116	1
