hit_rate_ini:	0.145889	miss_ratio_ini:	0.288391
215	27693	0.479732	0.267883	1
240	619552	0.480016	0.267822	1
340	21304	0.480215	0.267761	1
394	87423	0.480389	0.2677	1
413	73290	0.480554	0.267639	1
360	48785	0.480744	0.267578	1
439	21442	0.480897	0.267517	1
448	16741	0.481047	0.267456	1
555	28524	0.481169	0.267395	1
410	17339	0.481333	0.267334	1
445	40110	0.481486	0.267273	1
473	56060	0.48163	0.267212	1
490	96855	0.48177	0.267151	1
534	18015	0.481895	0.26709	1
579	28505	0.482012	0.267029	1
484	7541	0.482145	0.267029	1
609	78132	0.482258	0.266968	1
616	21860	0.482367	0.266907	1
782	11502	0.48245	0.266907	1
774	38627	0.482537	0.266846	1
682	12767	0.482633	0.266846	1
710	92683	0.48273	0.266785	1
715	10853	0.48282	0.266785	1
993	28443	0.482888	0.266724	1
770	64980	0.482977	0.266663	1
741	28847	0.483068	0.266602	1
1166	18238	0.483124	0.266541	1
783	18132	0.483208	0.266479	1
938	5972	0.48327	0.266479	1
801	14340	0.483352	0.266479	1
953	16709	0.483421	0.266418	1
811	22574	0.483503	0.266357	1
945	23388	0.483574	0.266296	1
963	23388	0.483643	0.266235	1
1263	23388	0.483695	0.266174	1
1075	23388	0.483757	0.266113	1
1087	23388	0.483818	0.266052	1
1001	23388	0.483884	0.265991	1
1014	23388	0.483949	0.26593	1
1035	23388	0.484014	0.265869	1
1149	23388	0.484071	0.265808	1
1344	23388	0.48412	0.265747	1
1400	23388	0.484167	0.265686	1
1260	23388	0.484219	0.265625	1
1304	70139	0.484271	0.265564	1
1275	80238	0.484325	0.265503	1
1205	618156	0.484383	0.265442	1
919	76968	0.484458	0.265381	1
1587	70834	0.484501	0.26532	1
1230	649835	0.484557	0.265259	1
1608	81249	0.4846	0.265198	1
1847	71121	0.484637	0.265137	1
1527	198434	0.484682	0.265076	1
1674	55066	0.484723	0.265015	1
1155	67173	0.484782	0.264954	1
1238	15706	0.484833	0.264954	1
1542	74692	0.484878	0.264893	1
1477	236300	0.484925	0.264832	1
1316	26741	0.484975	0.264771	1
1655	130158	0.485017	0.264709	1
1434	66568	0.485064	0.264648	1
1602	41210	0.485106	0.264587	1
1604	71884	0.485149	0.264526	1
1431	9872	0.48519	0.264526	1
1595	25754	0.485231	0.264465	1
1767	28517	0.485269	0.264404	1
1483	11791	0.48531	0.264404	1
1811	34309	0.485346	0.264343	1
