hit_rate_ini:	0.0441542	miss_ratio_ini:	1
540	56717	0.482771	0.986603	1
427	746530	0.482932	0.986572	1
266	72340	0.483188	0.986542	1
565	132089	0.48331	0.986511	1
358	47013	0.4835	0.986481	1
269	168372	0.483754	0.98645	1
1281	824518	0.483809	0.98642	1
385	93634	0.483987	0.986389	1
362	171757	0.484176	0.986359	1
1144	57987	0.484236	0.986328	1
639	82721	0.484343	0.986298	1
501	70718	0.48448	0.986267	1
870	140002	0.484559	0.986237	1
341	886726	0.48476	0.986206	1
687	72493	0.48486	0.986176	1
503	67969	0.484996	0.986145	1
779	43067	0.485084	0.986115	1
803	55561	0.485169	0.986084	1
320	241680	0.485383	0.986053	1
550	143670	0.485508	0.986023	1
504	48130	0.485643	0.985992	1
413	58051	0.485809	0.985962	1
643	64079	0.485915	0.985931	1
2322	172493	0.485945	0.985901	1
416	133506	0.48611	0.98587	1
463	270273	0.486259	0.98584	1
418	59865	0.486422	0.985809	1
280	101170	0.486666	0.985779	1
720	52682	0.486761	0.985748	1
375	71179	0.486943	0.985718	1
675	61109	0.487045	0.985687	1
1089	39895	0.487107	0.985657	1
883	58132	0.487184	0.985626	1
907	167756	0.48726	0.985596	1
1184	50443	0.487318	0.985565	1
287	103958	0.487556	0.985535	1
311	55519	0.487775	0.985504	1
357	62622	0.487966	0.985474	1
519	44225	0.488098	0.985443	1
451	87530	0.48825	0.985413	1
498	102288	0.488387	0.985382	1
705	73662	0.488485	0.985352	1
247	153173	0.488761	0.985321	1
248	62409	0.489036	0.985291	1
1055	52342	0.4891	0.98526	1
412	63111	0.489266	0.985229	1
481	48128	0.489408	0.985199	1
780	702253	0.489497	0.985168	1
436	57397	0.489654	0.985138	1
758	49452	0.489744	0.985107	1
414	426028	0.48991	0.985077	1
345	86549	0.490108	0.985046	1
622	74789	0.490218	0.985016	1
530	59114	0.490347	0.984985	1
370	96659	0.490532	0.984955	1
485	173797	0.490674	0.984924	1
831	50219	0.490756	0.984894	1
1613	52629	0.490798	0.984863	1
372	122048	0.490982	0.984833	1
603	51379	0.491096	0.984802	1
557	54617	0.491218	0.984772	1
1340	48606	0.491269	0.984741	1
351	185051	0.491464	0.984711	1
444	82314	0.491618	0.98468	1
