second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
56	2309720.00	1188348.00	147687.00	916694.00	0.00	56991.00	2105118.00	916743.00	0.00	916679.00	271657.00	0.00	30.00	0.00	13662.00	6831.00	0.00	6831.00	0.00	0.00	0.00	0.00	2091447.00	909912.00	0.00	909848.00	271657.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	79.00	1188347.00	
57	2324193.00	1195479.00	147148.00	924415.00	0.00	57151.00	2119769.00	924435.00	0.00	924278.00	271015.00	0.00	32.00	0.00	13649.00	6825.00	0.00	6824.00	0.00	0.00	0.00	0.00	2106115.00	917611.00	0.00	917457.00	271015.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	74.00	1195483.00	
58	2314497.00	1188481.00	147096.00	921817.00	0.00	57103.00	2110215.00	921797.00	0.00	921740.00	266656.00	0.00	36.00	0.00	13649.00	6823.00	0.00	6826.00	0.00	0.00	0.00	0.00	2096581.00	914974.00	0.00	914915.00	266656.00	0.00	0.00	0.00	36.00	0.00	0.00	0.00	0.00	70.00	1188481.00	
59	2336814.00	1203458.00	147289.00	929228.00	0.00	56840.00	2132521.00	929211.00	0.00	929203.00	274093.00	0.00	23.00	0.00	13805.00	6902.00	0.00	6903.00	0.00	0.00	0.00	0.00	2118725.00	922309.00	0.00	922300.00	274093.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00	0.00	76.00	1203460.00	
60	2334100.00	1199884.00	146860.00	930201.00	0.00	57155.00	2130035.00	930198.00	0.00	930093.00	269660.00	0.00	33.00	0.00	13728.00	6865.00	0.00	6863.00	0.00	0.00	0.00	0.00	2116258.00	923334.00	0.00	923232.00	269660.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	76.00	1199881.00	
61	2321475.00	1193806.00	147164.00	923562.00	0.00	56944.00	2117225.00	923580.00	0.00	923468.00	270174.00	0.00	38.00	0.00	13664.00	6831.00	0.00	6833.00	0.00	0.00	0.00	0.00	2103596.00	916749.00	0.00	916635.00	270174.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	102.00	1193806.00	
62	2343750.00	1207462.00	145538.00	933372.00	0.00	57378.00	2140811.00	933425.00	0.00	933396.00	273938.00	0.00	48.00	0.00	13750.00	6875.00	0.00	6875.00	0.00	0.00	0.00	0.00	2127057.00	926550.00	0.00	926521.00	273938.00	0.00	0.00	0.00	48.00	0.00	0.00	0.00	0.00	95.00	1207465.00	
63	2329091.00	1201099.00	146228.00	925247.00	0.00	56517.00	2126246.00	925187.00	0.00	925102.00	275877.00	0.00	31.00	0.00	13573.00	6787.00	0.00	6786.00	0.00	0.00	0.00	0.00	2112626.00	918402.00	0.00	918316.00	275877.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	89.00	1201097.00	
64	2329519.00	1200046.00	146050.00	927307.00	0.00	56117.00	2127239.00	927356.00	0.00	927306.00	272586.00	0.00	29.00	0.00	13327.00	6665.00	0.00	6662.00	0.00	0.00	0.00	0.00	2113949.00	920690.00	0.00	920644.00	272586.00	0.00	0.00	0.00	29.00	0.00	0.00	0.00	0.00	70.00	1200049.00	
65	2322805.00	1195673.00	144588.00	925163.00	0.00	57382.00	2120619.00	925108.00	0.00	925036.00	270447.00	0.00	38.00	0.00	13190.00	6595.00	0.00	6595.00	0.00	0.00	0.00	0.00	2107441.00	918513.00	0.00	918443.00	270447.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	61.00	1195672.00	
