second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
163	31691332.00	17238144.00	32645.00	14420541.00	0.00	0.00	31658492.00	14420409.00	0.00	14420398.00	2817559.00	0.00	25.00	0.00	20105306.00	8644172.00	0.00	8644162.00	2816948.00	23.00	0.00	0.00	11553086.00	5776237.00	0.00	5776236.00	611.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	33.00	17238140.00	
164	31668240.00	17224740.00	33078.00	14410424.00	0.00	0.00	31635008.00	14410330.00	0.00	14410312.00	2814252.00	0.00	23.00	0.00	20112080.00	8649182.00	0.00	8649152.00	2813725.00	22.00	0.00	0.00	11522836.00	5761148.00	0.00	5761160.00	527.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	33.00	17224740.00	
165	31654904.00	17218368.00	32642.00	14403895.00	0.00	0.00	31622272.00	14403905.00	0.00	14403888.00	2814435.00	0.00	21.00	0.00	20115088.00	8650530.00	0.00	8650526.00	2814017.00	18.00	0.00	0.00	11507160.00	5753375.00	0.00	5753363.00	419.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	32.00	17218368.00	
166	31670724.00	17226744.00	32696.00	14411282.00	0.00	0.00	31638228.00	14411366.00	0.00	14411350.00	2815427.00	0.00	14.00	0.00	20127484.00	8656235.00	0.00	8656220.00	2815013.00	14.00	0.00	0.00	11510675.00	5755131.00	0.00	5755130.00	414.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.00	17226746.00	
167	31735948.00	17262464.00	32668.00	14440818.00	0.00	0.00	31703120.00	14440692.00	0.00	14440705.00	2821626.00	0.00	27.00	0.00	20163334.00	8671048.00	0.00	8671075.00	2821189.00	23.00	0.00	0.00	11539715.00	5769644.00	0.00	5769630.00	437.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	32.00	17262464.00	
168	31590084.00	17183112.00	32670.00	14374302.00	0.00	0.00	31558188.00	14374745.00	0.00	14374597.00	2808723.00	0.00	30.00	0.00	20066156.00	8628945.00	0.00	8628889.00	2808295.00	27.00	0.00	0.00	11491940.00	5745800.00	0.00	5745709.00	428.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	32.00	17183112.00	
169	31692604.00	17237768.00	32980.00	14421857.00	0.00	0.00	31659284.00	14421644.00	0.00	14421671.00	2815847.00	0.00	25.00	0.00	20132454.00	8658521.00	0.00	8658495.00	2815415.00	23.00	0.00	0.00	11526733.00	5763123.00	0.00	5763176.00	432.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	34.00	17237772.00	
170	31669178.00	17225726.00	32656.00	14410798.00	0.00	0.00	31636358.00	14410674.00	0.00	14410639.00	2814940.00	0.00	29.00	0.00	20119232.00	8652317.00	0.00	8652312.00	2814576.00	27.00	0.00	0.00	11517051.00	5758358.00	0.00	5758327.00	364.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	33.00	17225728.00	
171	31677520.00	17230188.00	32647.00	14414685.00	0.00	0.00	31645328.00	14414808.00	0.00	14414773.00	2815571.00	0.00	37.00	0.00	20117186.00	8650900.00	0.00	8650880.00	2815370.00	35.00	0.00	0.00	11528004.00	5763908.00	0.00	5763893.00	201.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	34.00	17230192.00	
172	31708648.00	17252224.00	32649.00	14423774.00	0.00	0.00	31675932.00	14423754.00	0.00	14423720.00	2828288.00	0.00	22.00	0.00	20117802.00	8644903.00	0.00	8644896.00	2827981.00	20.00	0.00	0.00	11557982.00	5778851.00	0.00	5778822.00	307.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	32.00	17252228.00	
